 , date, time, times, wifi_ssid_name, stutus_result   , play youtube, local host      , bytes transmitted, average cpu load, (Mb)          , (MB/s)          
 ,2021/5/12, 00:00:05 ,167,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,119222740,64.52381034,951.3180623,113.4059503
  ,2021/5/12, 00:01:26 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,118567670,49.96123147,948.3878291,113.0566393
  ,2021/5/12, 00:02:43 ,168,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,115292320,42.0763579,920.5673535,109.7401802
  ,2021/5/12, 00:03:41 ,    ,CBN_CH8679G_Nelson-5G ,Scanning ,Played ,10.118.252.82 ,103501060,72.09755087,825.030011,98.35124147
  ,2021/5/12, 00:04:54 ,169,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,113982180,49.8255299,911.7444041,108.6884027
  ,2021/5/12, 00:06:10 ,    ,CBN_CH8679G_Nelson-5G ,Scanning ,Played ,10.118.252.82 ,114637250,58.2464028,916.9943701,109.3142474
  ,2021/5/12, 00:07:42 ,170,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,116602460,59.60644802,928.6287549,110.7011741
  ,2021/5/12, 00:09:17 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,110706830,46.86626159,881.8644117,105.12643
  ,2021/5/12, 00:10:24 ,171,CBN_CH8679G_Nelson-24G ,Disconnected ,Played ,10.118.252.82 ,91709800,90.3090636,731.9437806,87.25449807
  ,2021/5/12, 00:11:58 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250,56.17531555,914.5544843,109.0233903
  ,2021/5/12, 00:13:12 ,172,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,108741620,94.62335356,865.2759918,103.1489363
  ,2021/5/12, 00:14:45 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250,53.52700272,911.5873604,108.6696816
  ,2021/5/12, 00:16:03 ,173,CBN_CH8679G_Nelson-24G ,Disconnected ,Played ,10.118.252.82 ,116602460,47.62277366,931.2951666,111.0190352
  ,2021/5/12, 00:17:37 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112672040,39.57265511,892.3317444,106.3742333
  ,2021/5/12, 00:19:04 ,174,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,114637250,46.13840528,916.8000725,109.2910853
  ,2021/5/12, 00:20:26 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,108086550,37.21042387,853.7085683,101.7699919
  ,2021/5/12, 00:21:50 ,175,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,116602460,28.48860819,930.3551053,110.9069711
  ,2021/5/12, 00:23:12 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115292320,36.00555896,920.1283499,109.6878469
  ,2021/5/12, 00:24:34 ,176,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,111361900,41.62688423,890.8221383,106.1942742
  ,2021/5/12, 00:26:00 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115947390,40.97462926,927.4650196,110.5624461
  ,2021/5/12, 00:27:17 ,177,CBN_CH8679G_Nelson-24G ,Connecting ,Played ,10.118.252.82 ,116602460,61.98452509,932.715163,111.1883119
  ,2021/5/12, 00:28:41 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115292320,40.83959414,917.8886328,109.4208518
  ,2021/5/12, 00:30:06 ,178,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,114637250,45.83598661,915.9722264,109.1923984
  ,2021/5/12, 00:31:30 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,116602460,42.51223362,929.5143149,110.8067411
  ,2021/5/12, 00:32:54 ,179,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,98260500,90.99975561,783.6921744,93.42338734
  ,2021/5/12, 00:34:19 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,113327110,39.14797705,904.6067884,107.8375326
  ,2021/5/12, 00:35:32 ,180,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,102845990,75.92715118,821.9673732,97.98614659
  ,2021/5/12, 00:36:51 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,114637250,45.02145895,913.0440214,108.8433291
  ,2021/5/12, 00:38:02 ,181,CBN_CH8679G_Nelson-24G ,Disconnected ,Played ,10.118.252.82 ,115292320,48.17916524,918.0036381,109.4345615
  ,2021/5/12, 00:39:24 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119877810,46.22397213,951.5150396,113.4294319
  ,2021/5/12, 00:40:45 ,182,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,119877810,42.25041255,958.9753807,114.3187738
  ,2021/5/12, 00:42:04 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119877810,45.08655975,958.8096552,114.2990178
  ,2021/5/12, 00:43:23 ,183,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,113327110,44.68607004,904.9284068,107.8758725
  ,2021/5/12, 00:44:34 ,    ,CBN_CH8679G_Nelson-5G ,Connecting ,Played ,10.118.252.82 ,116602460,53.87594051,931.0423039,110.9888916
  ,2021/5/12, 00:45:55 ,184,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,117912600,43.28454404,943.1168673,112.4282917
  ,2021/5/12, 00:47:15 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,118567670,54.56960051,947.2872101,112.9254353
  ,2021/5/12, 00:48:34 ,185,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,117912600,54.36511205,942.708784,112.3796444
  ,2021/5/12, 00:49:48 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,115947390,41.96503494,923.4926201,110.0888991
  ,2021/5/12, 00:51:00 ,186,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,110051760,53.79648261,876.1481286,104.4449959
  ,2021/5/12, 00:52:24 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,116602460,54.32443609,929.2447619,110.7746079
  ,2021/5/12, 00:58:07 ,187,CBN_CH8679G_Nelson-24G ,Connecting ,IGNORE ,10.118.252.82 ,117257530,41.64764686,934.4914277,111.4000592
  ,2021/5/12, 00:59:30 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,108086550,62.20725522,861.0431882,102.6443467
  ,2021/5/12, 01:00:43 ,188,CBN_CH8679G_Nelson-24G ,Scanning ,Played ,10.118.252.82 ,113327110,43.88845969,904.0820126,107.7749744
  ,2021/5/12, 01:02:08 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,112016970,47.56313011,896.0426159,106.8166037
  ,2021/5/12, 01:03:25 ,189,CBN_CH8679G_Nelson-24G ,Successed ,Played ,10.118.252.82 ,118567670,49.17444422,947.7945231,112.9859117
  ,2021/5/12, 01:04:49 ,    ,CBN_CH8679G_Nelson-5G ,Successed ,Played ,10.118.252.82 ,119222740,41.81435612,951.452007,113.4219178
